Temp,Humd,Label
34,57,1
34,56,1
34,55,1
34,55,1
34,54,1
34,53,1
34,53,1
34,52,1
34,52,1
34,53,1
34,53,1
34,54,1
34,54,1
34,55,1
34,55,1
34,56,1
34,56,1
34,57,1
34,58,1
34,58,1
34,59,1
34,59,1
34,60,1
34,60,1
34,61,1
34,61,1
34,62,1
34,63,1
34,63,1
34,64,1
35,64,1
35,64,1
35,65,1
35,65,1
35,65,1
35,65,1
35,66,1
35,66,1
35,67,1
35,67,1
35,67,1
35,68,1
35,69,1
35,69,1
35,69,1
35,69,1
35,69,1
35,70,1
35,70,1
35,71,1
35,71,1
35,71,1
35,72,1
35,72,1
35,72,1
35,73,1
35,73,1
35,73,1
35,73,1
35,73,1
35,73,1
35,73,1
35,73,1
36,72,1
36,71,1
36,70,1
36,69,1
36,69,1
35,69,1
35,68,1
35,68,1
35,67,1
35,66,1
35,65,1
35,65,1
35,64,1
35,63,1
35,62,1
35,61,1
35,60,1
35,59,1
35,59,1
35,58,1
35,57,1
35,56,1
35,52,1
35,49,1
35,49,1
35,48,1
35,47,1
35,47,1
35,46,1
35,46,1
35,45,1
35,45,1
35,43,1
35,43,1
35,42,1
35,42,1
35,42,1
34,42,1
34,42,1
34,41,1
34,41,1
34,40,1
34,40,1
34,40,1
34,39,1
34,39,1
34,39,1
34,39,1
34,38,1
34,38,1
34,38,1
34,38,1
34,37,1
34,37,1
34,38,1
34,42,1
34,43,1
34,44,1
34,49,1
34,50,1
34,51,1
34,51,1
34,52,1
34,53,1
34,54,1
34,55,1
34,56,1
34,57,1
34,58,1
34,59,1
34,59,1
34,60,1
34,61,1
34,61,1
34,62,1
34,63,1
34,64,1
34,65,1
34,66,1
34,66,1
34,66,1
34,67,1
34,67,1
34,68,1
34,68,1
34,68,1
34,69,1
35,68,1
35,69,1
35,69,1
35,70,1
35,70,1
35,70,1
35,69,1
35,69,1
35,69,1
35,69,1
35,65,1
35,65,1
35,65,1
35,64,1
35,63,1
35,62,1
35,60,1
35,60,1
35,59,1
35,58,1
35,58,1
35,57,1
35,56,1
35,55,1
35,54,1
35,54,1
35,53,1
35,52,1
35,52,1
35,51,1
35,50,1
34,51,1
34,50,1
34,50,1
34,49,1
34,49,1
34,48,1
34,47,1
34,47,1
34,46,1
34,46,1
34,46,1
34,45,1
34,45,1
34,45,1
34,44,1
34,44,1
34,44,1
34,44,1
34,45,1
34,45,1
34,46,1
34,46,1
34,47,1
34,48,1
34,49,1
34,50,1
34,50,1
34,51,1
34,52,1
34,53,1
34,54,1
34,54,1
34,55,1
34,56,1
34,56,1
34,57,1
34,58,1
34,59,1
34,60,1
34,60,1
34,61,1
34,65,1
35,65,1
35,65,1
35,65,1
35,65,1
35,66,1
35,66,1
35,66,1
35,67,1
35,67,1
35,67,1
35,68,1
35,69,1
35,69,1
35,69,1
35,69,1
35,70,1
35,70,1
35,71,1
35,70,1
35,69,1
35,69,1
35,69,1
35,68,1
35,68,1
35,67,1
35,66,1
35,65,1
35,65,1
35,64,1
35,63,1
35,62,1
35,61,1
35,60,1
35,59,1
35,55,1
35,54,1
35,54,1
35,53,1
35,52,1
35,51,1
35,50,1
35,50,1
35,49,1
35,49,1
35,48,1
35,48,1
35,47,1
35,46,1
34,45,1
34,45,1
34,45,1
34,44,1
34,44,1
34,43,1
34,41,1
34,41,1
34,41,1
34,41,1
34,41,1
34,39,1
34,39,1
34,39,1
34,39,1
34,38,1
34,38,1
34,38,1
34,37,1
34,37,1
34,37,1
34,38,1
34,39,1
34,40,1
34,40,1
34,41,1
34,41,1
34,42,1
34,43,1
34,43,1
34,44,1
34,44,1
34,48,1
34,49,1
34,49,1
34,50,1
34,51,1
34,51,1
34,52,1
34,53,1
34,54,1
34,55,1
34,55,1
34,56,1
34,57,1
34,57,1
34,58,1
34,59,1
34,60,1
34,61,1
34,62,1
34,63,1
34,64,1
34,65,1
34,66,1
34,66,1
34,66,1
35,66,1
35,66,1
35,67,1
35,68,1
35,69,1
35,69,1
35,69,1
35,69,1
35,69,1
35,70,1
35,70,1
35,71,1
35,71,1
35,72,1
35,72,1
35,72,1
35,73,1
35,73,1
35,69,1
35,69,1
35,69,1
35,68,1
35,68,1
35,67,1
35,67,1
35,66,1
35,65,1
35,65,1
35,64,1
35,63,1
35,62,1
35,61,1
35,60,1
35,59,1
35,58,1
35,58,1
35,57,1
35,56,1
35,55,1
35,54,1
35,54,1
35,53,1
35,49,1
35,49,1
35,49,1
35,48,1
35,47,1
35,47,1
35,46,1
35,46,1
35,45,1
35,45,1
35,45,1
35,44,1
35,44,1
35,44,1
35,43,1
35,43,1
35,42,1
35,42,1
35,42,1
35,41,1
35,41,1
34,41,1
34,41,1
34,41,1
34,41,1
34,41,1
34,40,1
34,40,1
34,39,1
34,39,1
34,38,1
34,38,1
34,38,1
34,38,1
34,37,1
34,37,1
34,37,1
34,37,1
34,36,1
34,36,1
34,36,1
34,36,1
34,36,1
34,36,1
34,36,1
34,36,1
34,36,1
34,36,1
34,35,1
34,35,1
34,35,1
34,35,1
34,35,1
34,35,1
34,35,1
34,35,1
34,35,1
34,35,1
33,36,1
33,36,1
33,38,1
33,39,1
33,40,1
33,41,1
33,41,1
33,42,1
33,43,1
33,43,1
33,44,1
34,45,1
34,45,1
34,46,1
34,47,1
34,48,1
34,49,1
34,50,1
34,50,1
34,51,1
34,52,1
34,53,1
34,54,1
34,58,1
34,59,1
34,59,1
34,60,1
34,61,1
34,61,1
34,62,1
34,63,1
34,64,1
34,65,1
34,65,1
34,66,1
35,65,1
35,65,1
35,66,1
35,66,1
35,67,1
35,67,1
35,67,1
35,68,1
35,68,1
35,68,1
35,69,1
35,69,1
35,69,1
35,69,1
35,69,1
35,69,1
35,70,1
35,70,1
35,70,1
35,70,1
35,69,1
35,69,1
35,66,1
35,65,1
35,65,1
35,64,1
35,63,1
35,62,1
35,61,1
35,60,1
35,59,1
35,59,1
35,58,1
35,57,1
35,56,1
35,55,1
35,55,1
35,54,1
65,27,0
59,195,0
36,196,0
4,83,0
62,134,0
38,133,0
46,167,0
17,90,0
6,101,0
29,153,0
39,185,0
15,189,0
34,40,0
23,129,0
8,45,0
14,76,0
7,106,0
52,133,0
70,7,0
64,160,0
64,6,0
31,79,0
59,99,0
18,128,0
51,71,0
3,32,0
31,160,0
62,88,0
53,154,0
39,13,0
36,83,0
5,7,0
48,94,0
6,26,0
36,8,0
56,60,0
60,178,0
0,30,0
70,88,0
37,180,0
4,95,0
64,74,0
15,174,0
4,9,0
11,122,0
19,22,0
36,182,0
31,12,0
1,0,0
45,32,0
64,117,0
13,110,0
31,25,0
44,107,0
13,17,0
35,106,0
27,186,0
64,6,0
47,25,0
34,117,0
19,172,0
67,175,0
38,140,0
48,193,0
50,120,0
0,67,0
40,44,0
54,33,0
4,69,0
9,10,0
34,0,0
9,128,0
70,28,0
10,155,0
53,25,0
7,111,0
35,100,0
42,189,0
28,51,0
68,64,0
47,115,0
23,133,0
30,126,0
46,81,0
70,53,0
30,42,0
8,157,0
18,73,0
10,147,0
33,79,0
4,59,0
18,9,0
69,54,0
51,49,0
28,60,0
4,138,0
34,148,0
7,60,0
54,142,0
14,52,0
2,92,0
14,123,0
54,141,0
52,68,0
54,11,0
38,172,0
30,148,0
23,44,0
32,104,0
48,27,0
53,166,0
36,153,0
13,105,0
46,49,0
43,137,0
6,46,0
30,54,0
51,192,0
57,123,0
70,88,0
46,33,0
16,104,0
21,60,0
57,14,0
54,164,0
66,168,0
69,198,0
35,121,0
31,10,0
45,193,0
50,21,0
1,10,0
55,125,0
2,81,0
21,86,0
16,142,0
3,63,0
54,21,0
64,74,0
8,189,0
54,107,0
24,126,0
1,194,0
11,137,0
27,106,0
54,118,0
61,13,0
61,143,0
55,7,0
30,134,0
33,93,0
7,42,0
8,190,0
14,169,0
28,124,0
59,142,0
37,170,0
60,8,0
32,139,0
34,56,0
56,162,0
53,60,0
42,73,0
67,70,0
62,103,0
14,139,0
31,156,0
64,191,0
3,93,0
23,36,0
21,167,0
41,58,0
21,68,0
16,120,0
60,38,0
50,15,0
7,86,0
65,195,0
49,136,0
47,136,0
62,156,0
9,75,0
5,158,0
60,178,0
41,61,0
53,147,0
70,172,0
19,168,0
11,198,0
23,87,0
18,199,0
52,140,0
62,96,0
2,133,0
6,6,0
3,52,0
21,190,0
19,71,0
53,66,0
10,142,0
15,133,0
31,186,0
57,140,0
63,130,0
56,72,0
51,72,0
